,Unnamed: 0,Autor(es)/Instituições,Título,Tipo,Evento,Ano,Link do Arquivo
621,621,Laís de Araújo Macêdo (Universidade Federal da Bahia),o lugar político do cinema marginal baiano durante a ditadura militar (1968-1972),Comunicação,XXIX Simpósio Nacional de História,2017.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548953099_aef39fd6da366cae9016e76e35ffd008.pdf
666,666,José Francisco dos Santos (Universidade Federal do Oeste da Bahia -UFOB),"o desmonte do “império ultramarino”, a revolução dos cravos e o projeto “imperialista brasileiro” na ditadura civil-militar, estatais e empresas privadas brasileiras em angola e moçambique. relatório secreto do embaixador carlos alberto da fontoura",Comunicação,XXIX Simpósio Nacional de História,2017.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548953099_5a7ffbda83eb79740f050210141e6820.pdf
677,677,Jonatas Pereira da Silva (Universidade Federal da Bahia),albertina rodrigues: escrita feminina e luta de resistência à ditadura civil-militar,Comunicação,XXIX Simpósio Nacional de História,2017.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548953099_105dbf8489d46bd00c4873aaed90e860.pdf
717,717,Matheus Santos Santana (UFRJ),"o ""massacre de manguinhos"": segurança, desenvolvimento e o campo científico da saúde na ditadura civil-militar",Comunicação,XXIX Simpósio Nacional de História,2017.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548953098_00b1cbb88ca824a0e32f0577660a27d6.pdf
786,786,Marcos Aurélio Ramalho Gandra (Universidade Federal Fluminense),"controle operário, poder popular e ditadura ""tardia"" em volta redonda (1984-1990)",Comunicação,XXIX Simpósio Nacional de História,2017.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548953098_9801f6ee81584d0a6af8c0e731e9f775.pdf
799,799,Marcia Barbosa Nogueira (Universidade Federal do Tocantins),"a ditadura militar, a canção popular brasileira e o ensino de história: entre práticas, sons e representações no ensino médio, em redenção-pa",Comunicação,XXIX Simpósio Nacional de História,2017.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548953098_07a9894b33a873dd534f8e6fa2b36c1d.pdf
811,811,Marcelo Gonzalez Brasil Fagundes (Universidade Federal do Tocantins - UFT),povos indígenas e projetos de desenvolvimento econômico: os apinajé durante a ditadura militar no brasil,Comunicação,XXIX Simpósio Nacional de História,2017.0,
812,812,Marcella Furtado Rodrigues (Museu da Imagem e do Som de BH),bh em movimento - registros audiovisuais do período da ditadura na capital de minas,Comunicação,XXIX Simpósio Nacional de História,2017.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548953098_17dc15a7654f8769f7079fb68a87bf7c.pdf
822,822,Manoel Reinaldo Silva Rego (Rede publica municipal de Vitória da Conquista),a trajetória de juracy magalhães na ditadura: entre suas memórias e a história.,Comunicação,XXIX Simpósio Nacional de História,2017.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548953098_df71a162b971e0453f39aaa8421c627b.pdf
845,845,Luiz Carlos Ribeiro de Sant'ana (FAETEC),"comédia erótica, ditadura e futebol na espanha dos anos 70: las ibéricas (pedro masó, 1971).",Comunicação,XXIX Simpósio Nacional de História,2017.0,
894,894,Raphael Oliveira da Silva (Universidade Federal Fluminense),"propaganda, opinião pública e a construção do consenso e do consentimento na ditadura civil-militar",Comunicação,XXIX Simpósio Nacional de História,2017.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548953097_aaadfd4df31e78642112cf7878c0e53a.pdf
899,899,Raphael Guilherme de Carvalho (Universidade Federal do Paraná),presentes opostos: escritas de si e história da historiografia  em tempos de ditadura (1968-1979),Comunicação,XXIX Simpósio Nacional de História,2017.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548953097_39d2985a98397454120ba1d9ad33136b.pdf
908,908,Rafael Vaz da Motta Brandão (UERJ/FFP),política energética e a ditadura civil - militar: o acordo de cooperação nuclear brasil - alemanha,Comunicação,XXIX Simpósio Nacional de História,2017.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548953097_85de639d0b509a3bce3cdea2f411dc91.pdf
939,939,Pedro Henrique Pedreira Campos (Departamento de História e Relações Internacionais da UFRRJ),"empresários, estado ampliado e política externa: as empreiteiras e as relações internacionais brasileiras no período da ditadura civil-militar brasileira, 1964-1988",Comunicação,XXIX Simpósio Nacional de História,2017.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548953097_7beae72389820c26131d6a81e99ea48c.pdf
996,996,Michelly Pereira de Sousa Cordão (USP),tancredo neves e as memórias da ditadura: a construção de um herói da resistência democrática,Comunicação,XXIX Simpósio Nacional de História,2017.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548953097_b4c706ea2e1657db7d5e08199fc3d8bc.pdf
1030,1030,Verena Alberti (UERJ),material didático sobre a história e a memória da ditadura militar no âmbito da educação dos direitos humanos,Comunicação,XXIX Simpósio Nacional de História,2017.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548953096_40e00fdadcb3e508b03ea0a0664c3129.pdf
1056,1056,Thiago Nunes Soares (Universidade Federal do Estado do Rio de Janeiro - UNIRIO),olhos e ouvidos no campus: a estrutura e o modus operandi de vigilância estudantil e docente na ufpe em tempos de ditadura civil-militar.,Comunicação,XXIX Simpósio Nacional de História,2017.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548953096_1163b4c5a327096c180dd59e2f169970.pdf
1062,1062,Thiago Emanoel Ferreira dos Santos (Póscom-UFBA),"tropicalismo, dzi croquettes e secos e molhados: matrizes culturais da ditadura em videoclipes de johnny hooker",Comunicação,XXIX Simpósio Nacional de História,2017.0,
1314,1314,Ana Lima Kallás,ditadura e redemocratização no ensino de história: revisitação a partir de eventos recentes,Comunicação,XXVIII Simpósio Nacional de História,2015.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548945029_a7c89b68a3b4eb9695441c4c46c7591a.pdf
1427,1427,Bárbara Virgínia Groff da Silva,você prefere um governo ditatorial ou democrático? possibilidades de discussão sobre a ditadura civil-militar brasileira em sala de aula a partir de uma pesquisa de opinião realizada pelos alunos,Comunicação,XXVIII Simpósio Nacional de História,2015.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548945028_c42b71573cc3863b04a27baae71488d3.pdf
1540,1540,Cleber Santos Vieira,histórias de ditaduras e lutas de resistências - contadas para crianças,Comunicação,XXVIII Simpósio Nacional de História,2015.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548945027_e1924c4fb75412d17bfa7b71ca159050.pdf
1654,1654,Edimilsom Peres Castilho,a companhia metropolitana de habitação de são paulo (cohab-sp): o principal agente da política de habitação popular da ditadura militar brasileira (1964-1985),Comunicação,XXVIII Simpósio Nacional de História,2015.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548945026_e6529bc5cd7a5702ebee9bc47abbb9ec.pdf
1660,1660,DULCINEA CERQUEIRA COUTINHO BARROS,ditadura militar e ensino de história: saberes e práticas no instituto de educação gastão guimarães (1968-1978),Comunicação,XXVIII Simpósio Nacional de História,2015.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548945026_33886406172dfa6e1dd2ba82748a31e2.pdf
1671,1671,Diogo Cunha,"intelectuais conservadores, sociabilidade e as práticas da imortalidade: a academia brasileira de letras durante a ditadura militar (1964 – 1979)",Comunicação,XXVIII Simpósio Nacional de História,2015.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548945026_f45ca49d78bf400d2f40a23f12d098ac.pdf
1673,1673,Dinoráh Lopes Rubim Almeida,a atuação da assessoria especial de segurança e informação na universidade federal do espírito santo (aesi-ufes): análise de documentos relativos à vigilância aos militantes da comunidade universitária contrários a ditadura militar,Comunicação,XXVIII Simpósio Nacional de História,2015.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548945026_bb66ab1cb6e67c4155617a3057a98258.pdf
1677,1677,Diego Garcia Braga,a ditadura civil-militar em alegrete: partidos e sublegendas durante a eleição municipal de 1976,Comunicação,XXVIII Simpósio Nacional de História,2015.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548945026_32a913041d018f4f0e7850587aa04828.pdf
1685,1685,Diego da Silva Ramos,a uppes e sua relação com a ditadura militar,Comunicação,XXVIII Simpósio Nacional de História,2015.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548945026_9f97eb389077ee9b8040ab4a7b872e5c.pdf
1715,1715,Danielle Rodrigues Silveira,história do tempo presente e livro didático: os sujeitos da ditadura militar nos livros didáticos de história.,Comunicação,XXVIII Simpósio Nacional de História,2015.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548945026_d40d065f295b9e33bf4d29639dae010a.pdf
1755,1755,Fábio roberto wilke,ditadura civil-militar do estado novo (1937-1945) e família: uma proposta de campo investigativo,Comunicação,XXVIII Simpósio Nacional de História,2015.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548945025_5e519e141372d3a2f4a87692697de576.pdf
1817,1817,Ellen Karin Dainese Maziero,carnaval e moralidade durante a ditadura militar (1965-1979),Comunicação,XXVIII Simpósio Nacional de História,2015.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548945025_fd51c13f633aa72f9b0f287e48153eac.pdf
1955,1955,Fernanda Queiroz de Menezes,uma reflexão sobre a atuação de dom pedro casaldáliga no período da ditadura civil-militar no brasil,Comunicação,XXVIII Simpósio Nacional de História,2015.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548945024_c1ad34d910ea06605a5a01a9918042b7.pdf
1959,1959,João Batista Teófilo Silva,a invenção do passado e a construção do presente: imprensa e memória no longo fim da ditadura civil-militar (1974-1985),Comunicação,XXVIII Simpósio Nacional de História,2015.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548945023_b72b0577ed8bf58bb48e0c53102646f3.pdf
1988,1988,Jaime Valim Mansan,a adesg e o controle do campo da educação superior durante a ditadura militar no brasil: o caso do departamento regional gaúcho,Comunicação,XXVIII Simpósio Nacional de História,2015.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548945023_0ea0e1332a111c17d9dbc1fb56acf55c.pdf
1989,1989,JAIME CUÉLLAR VELARDE,seráfico: memórias do golpe e ditadura civil-militar na amazônia paraense,Comunicação,XXVIII Simpósio Nacional de História,2015.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548945023_ca3b33984cbb84afac702652aaccebb3.pdf
1996,1996,Izis Guimarães Mueller,"dr getúlio, sua vida e sua glória:   a rememoração de getúlio vargas na obra de dias gomes em plena ditadura civil-militar",Comunicação,XXVIII Simpósio Nacional de História,2015.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548945023_e469811d99162b5ce74690af9bb48d90.pdf
2072,2072,Katya Mitsuko Zuquim Braghini,o movimento estudantil de direita no período da ditadura civil-militar no brasil (1961-1980),Comunicação,XXVIII Simpósio Nacional de História,2015.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548945022_2ea4536cac31967095bad8b3532690c3.pdf
2112,2112,Josiély Koerich,memórias e documentação: os usos contemporâneos do ‘archivo del terror’ do paraguai (re)significando a ditadura stronista,Comunicação,XXVIII Simpósio Nacional de História,2015.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548945022_dfc4fc3a3e413ba1f2d6de2a57837eed.pdf
2195,2195,Luiz Felipe Falcão,as esquerdas brasileiras na luta contra a ditadura e pela democratização do país,Comunicação,XXVIII Simpósio Nacional de História,2015.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548945021_1be88d9c28aed789a43f69344f9d5899.pdf
2201,2201,luiz carlos checchia,"cenas de resistência, três experiências do teatro e a da vida operária em osasco-sp durante a ditadura militar",Comunicação,XXVIII Simpósio Nacional de História,2015.0,
2249,2249,Lívia de Barros Salgado,experiências da ditadura em depoimentos,Comunicação,XXVIII Simpósio Nacional de História,2015.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548945021_b669de8a0045ad9eef5430be7e1f28f4.pdf
2265,2265,Lidia Schneider Bristot,quem faz revolução? discursos sobre juventude na ação popular e ação libertadora nacional durante a ditadura.,Comunicação,XXVIII Simpósio Nacional de História,2015.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548945021_6faa6efae41135291358e4d4d8f6c4de.pdf
2267,2267,Licia Gomes Quinan,"a função social do historiador e o ensino da ditadura militar: caminhos para a promoção da reparação, da memória e da verdade.",Comunicação,XXVIII Simpósio Nacional de História,2015.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548945021_458ee9345d9dda025fa29e7149604933.pdf
2290,2290,Leonardo Baptista,ditadura militar e a universidade federal do espírito santo: a atuação repressora da aesi-ufes entre os anos de 1974 e 1975.,Comunicação,XXVIII Simpósio Nacional de História,2015.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548945021_9aff5f3c02e64d34c35e1a4a8fae2b35.pdf
2326,2326,Kelly Márcia de Moura Leal,"cala a boca, bárbara: censura musical e disputas de gêneros em tempos de ditadura no brasil",Comunicação,XXVIII Simpósio Nacional de História,2015.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548945021_6c39370e889ab785cec8b7f2a573ebce.pdf
2354,2354,Maria Jose Castelano,lineamentos sobre a comissão pastoral da terra (cpt) e sua atuação junto aos movimentos sociais rurais durante a ditadura militar,Comunicação,XXVIII Simpósio Nacional de História,2015.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548945020_a39527a60388442e6b9ce4a2959bf44c.pdf
2377,2377,Maria Cláudia Badan Ribeiro,a resistência à ditadura civil-militar brasileira e as redes transnacionais de solidariedade (1964-1985),Comunicação,XXVIII Simpósio Nacional de História,2015.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548945020_d67b7dfdd7a9251c3abecfa60e1bf8ee.pdf
2406,2406,MARCOS ANTONIO DA SILVA,"infância, ficção, história e ditadura - voos da liberdade nas sombras de reis barbudos.",Comunicação,XXVIII Simpósio Nacional de História,2015.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548945020_5e5d097e075fb0b0c4ee17b51278bf69.pdf
2488,2488,Mirian Alves do Nascimento,jornais de oposição e os direitos humanos nas ditaduras civis-militares brasileira e uruguaia (1967-1983),Comunicação,XXVIII Simpósio Nacional de História,2015.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548945019_5a52ceea0cd7a0eb0dc1f6dafd49fee6.pdf
2528,2528,Mateus Gamba Torres,"o supremo tribunal federal e a ditadura militar: discursos, processos e parcialidade.",Comunicação,XXVIII Simpósio Nacional de História,2015.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548945019_5d6d4527575ee9f78a97e38dc93a6bb7.pdf
2566,2566,Rafael Rodrigues Cavalcante,o apagão e o contra-apagão cultural: a música na ditadura militar chilena,Comunicação,XXVIII Simpósio Nacional de História,2015.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548945018_51a40b7769509decabc32c9990bc2ef6.pdf
2585,2585,Priscilla Nathani Pessoa de Lima,pintando o sistema: artes plásticas e grafite como ação de resistência cultural na ditadura militar no brasil,Comunicação,XXVIII Simpósio Nacional de História,2015.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548945018_87a16c6cd156207412947cac8e845b5c.pdf
2594,2594,PLÍNIO FERREIRA GUIMARÃES,"assistindo a população, combatendo o comunismo: as ações cívico-sociais no contexto da ditadura militar brasileira",Comunicação,XXVIII Simpósio Nacional de História,2015.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548945018_a6e2fcbf8ff21ee49581911d42703ddc.pdf
2618,2618,Paulo César Gomes,as relações entre a ditadura militar brasileira e a frança durante o governo de castelo branco,Comunicação,XXVIII Simpósio Nacional de História,2015.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548945018_fa6a767d658cc6fe5ca117b25395c3c4.pdf
2633,2633,PATRICIA SPOSITO MECHI,modernização excludente e repressão contra camponeses no eixo goiás-tocantins  em tempos de ditadura,Comunicação,XXVIII Simpósio Nacional de História,2015.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548945018_3ace3e72f0b12d979a2ad0db6265d13f.pdf
2689,2689,Rodrigo Perla Martins,política externa da ditadura civil-militar brasileria: o governo costa e silva (1967-1969),Comunicação,XXVIII Simpósio Nacional de História,2015.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548945017_9ee0d2879c2c36c6c9b71e94a7e801ee.pdf
2716,2716,"Rita Juliana Soares Poloni,Tobias Vilhena de Moraes","cultura material, patrimônio e ditadura em contexto lusófono",Comunicação,XXVIII Simpósio Nacional de História,2015.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548945017_8d5321e561bce2f675a9a1eefe4c93eb.pdf
2726,2726,Ricardo Duwe,o liberalismo conservador das elites catarinenses e a ditadura civil-militar: breves apontamentos sobre um possível diálogo,Comunicação,XXVIII Simpósio Nacional de História,2015.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548945017_fa134396a9e3c5a462c6693837302789.pdf
2733,2733,Rhaissa Marques Botelho Lobo,o cárcere de frei betto: memórias intelectuais da ditadura militar,Comunicação,XXVIII Simpósio Nacional de História,2015.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548945017_92ac4c3800e02bbccad960d35e1ceaa2.pdf
2738,2738,Renato Muchiuti Aranha,um olhar para a mídia regional durante a ditadura em foz do iguaçu (1980-84),Comunicação,XXVIII Simpósio Nacional de História,2015.0,
2756,2756,Renata Costa Reis de Meirelles,contra a tortura: a anistia internacional durante a ditadura militar no brasil,Comunicação,XXVIII Simpósio Nacional de História,2015.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548945017_8252bf9cb5a27fe3164d5568686700b9.pdf
2760,2760,Reinaldo Lindolfo Lohn,"transição política no brasil: a grande imprensa e a institucionalização da “abertura” ao final da ditadura militar (folha de são paulo e isto é, 1974-1985)",Comunicação,XXVIII Simpósio Nacional de História,2015.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548945017_4a86d4f21af22fdf06722c3507d76c20.pdf
2765,2765,Raquel Caminha Rocha,narrativas de mulheres contra a ditadura de 1964: eixos narrativos e subjetividade feminina,Comunicação,XXVIII Simpósio Nacional de História,2015.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548945017_f3b6ebc52c424fa4dc64f8e5b36986c1.pdf
2929,2929,Wagner da Silva Teixeira,"ditadura, democracia e transição: o processo político partidário local em uberaba-mg entre 1945 e 1947",Comunicação,XXVIII Simpósio Nacional de História,2015.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548945015_600cbfae39c33dc03898ffb8ca5c882c.pdf
3012,3012,Thiago de Sales Silva,"“pela moral e os bons costumes”: cartas ao órgão de censura da ditadura militar, uma análise a partir das categorias de recepção e gênero.",Comunicação,XXVIII Simpósio Nacional de História,2015.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548945015_8e5269bf0a8c94b7cc281f7c3ecd5c55.pdf
3036,3036,"Monica Piccolo Almeida Chaves,WILSON PINHEIRO ARAUJO NETO",a estrutura militar na ditadura e suas influências no maranhão,Painel,XXVII Simpósio Nacional de História,2013.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548875808_e64d4acac17f911b1c820d3e4d6f0578.pdf
3061,3061,"SUSEL OLIVEIRA DA ROSA,Tatianne Ellen Cavalcante Silva",mães em foco: uma analise sobre a maternidade no período de ditadura militar brasileira e suas representações no cinema,Painel,XXVII Simpósio Nacional de História,2013.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548875807_c82c9056049da6d7087a258c988427ea.pdf
3102,3102,"Orlando José de Almeida Filho,Raína de Castro Ferreira",história e totalitarismo: uma abordagem do livro didático após a ditadura militar no brasil (1964-1984),Painel,XXVII Simpósio Nacional de História,2013.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548875807_0ba84f801c2f52f94b1ee9055e17291b.pdf
3141,3141,"Monica Piccolo Almeida Chaves,Marcos Paulo Teixeira",igreja católica e a ditadura civil-militar brasileira: “subversão” de clérigos aos olhos da lei de segurança nacional no maranhão,Painel,XXVII Simpósio Nacional de História,2013.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548875807_0b87ff2b35c70d3981c122b44548273e.pdf
3271,3271,"Franscino Oliveira Silva,DANYELE NAYARA SANTOS DIAS","literatura, história e memória: as contribuições da literatura de frei betto para a construção da memória dos frades dominicanos na ditadura do brasil (1960-1980)",Painel,XXVII Simpósio Nacional de História,2013.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548875805_5411cafe3b4f122005ece392ac4bd631.pdf
3490,3490,Tatyana de Amaral Maia,civismo e cidadania num regime de exceção: o conhecimento histórico ensinado e seus usos políticos na ditadura civil-militar (1969-1985),Comunicação,XXVII Simpósio Nacional de História,2013.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548875182_cb4b419d32c8394d9f5f4f1ce5444dd2.pdf
3618,3618,Ramon de Alcântara Aleixo,"culturas escolres, currículos e representações docentes do ensino de história na ditadura militar em campina grande - pb.",Comunicação,XXVII Simpósio Nacional de História,2013.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548875180_39c1435f8b7586c4da65ed686922210c.pdf
3622,3622,Raphael Péricles da Silva Borges,memória musical dos sem nome: reflexões sobre ditadura civil-miliar na música “osso duro” de bezerra da silva,Comunicação,XXVII Simpósio Nacional de História,2013.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548875180_1c5879d46fe78fe3261aa278f97206e7.pdf
3626,3626,Raquel Caminha Rocha,"“a questão de eu ser mulher”:  gênero, memória e a luta contra a ditadura civil-militar brasileira no ceará (1964-1985).",Comunicação,XXVII Simpósio Nacional de História,2013.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548875180_af64854d430ee84585b6ad4436fe8a7e.pdf
3640,3640,Reginaldo Cerqueira Sousa,uma pedagogia moral e do corpo: os manuais de educação moral e cívica e as atividades físicas esportivas durante a ditadura militar,Comunicação,XXVII Simpósio Nacional de História,2013.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548875180_b226f0484c600e5cd6db5151550f38ce.pdf
3650,3650,Renata Costa Reis de Meirelles,cartas ao governo britânico: a anistia internacional e o brasil da ditadura,Comunicação,XXVII Simpósio Nacional de História,2013.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548875180_9577537bd726da47e9551ba0f1607873.pdf
3843,3843,Rafaela Lunardi,"preso a canções, entregue a paixões: algumas relações entre a mpb e o movimento estudantil na ditadura militar (brasil, 1973-1984)",Comunicação,XXVII Simpósio Nacional de História,2013.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548875179_9ab86b7f219cece8887c5b17562f72c6.pdf
3874,3874,Maura Leal da Silva,“a ditadura da liberdade”. um brasil que 64 não revelou,Comunicação,XXVII Simpósio Nacional de História,2013.0,
